DATE,Day,Month,Quarter,Year,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
29-Dec-25,Monday,December,Q4,2025,EQ,7324.00,7374.50,7232.50,7324.00,7275.50,7272.00,7284.69,7374.50,4646.00,282572.00,38107.00
26-Dec-25,Friday,December,Q4,2025,EQ,7300.00,7360.00,7274.00,7312.50,7330.00,7324.00,7329.13,7360.00,4646.00,157706.00,21162.00
24-Dec-25,Wednesday,December,Q4,2025,EQ,7300.00,7349.50,7240.50,7303.00,7300.00,7312.50,7308.19,7349.50,4646.00,205296.00,33262.00
23-Dec-25,Tuesday,December,Q4,2025,EQ,7338.00,7338.00,7280.00,7291.50,7290.00,7303.00,7313.15,7338.00,4646.00,249187.00,34073.00
22-Dec-25,Monday,December,Q4,2025,EQ,7238.00,7310.00,7213.00,7217.00,7306.50,7291.50,7265.88,7328.50,4646.00,233966.00,38341.00
19-Dec-25,Friday,December,Q4,2025,EQ,7075.00,7242.00,7075.00,7106.50,7229.50,7217.00,7198.82,7328.50,4646.00,423435.00,44558.00
18-Dec-25,Thursday,December,Q4,2025,EQ,7135.00,7144.00,7013.50,7134.50,7090.00,7106.50,7079.33,7328.50,4646.00,327756.00,42052.00
17-Dec-25,Wednesday,December,Q4,2025,EQ,7104.00,7176.50,7080.50,7061.50,7143.00,7134.50,7148.66,7328.50,4646.00,594264.00,53603.00
16-Dec-25,Tuesday,December,Q4,2025,EQ,7120.00,7121.50,7035.50,7121.50,7042.00,7061.50,7069.54,7328.50,4646.00,505906.00,40289.00
15-Dec-25,Monday,December,Q4,2025,EQ,7200.00,7210.50,7094.50,7229.00,7116.00,7121.50,7125.62,7328.50,4646.00,391821.00,48441.00
12-Dec-25,Friday,December,Q4,2025,EQ,7235.00,7274.50,7188.00,7256.00,7230.00,7229.00,7240.04,7328.50,4646.00,324682.00,32653.00
11-Dec-25,Thursday,December,Q4,2025,EQ,7250.00,7328.50,7220.50,7228.50,7235.00,7256.00,7273.86,7328.50,4646.00,502052.00,50425.00
10-Dec-25,Wednesday,December,Q4,2025,EQ,7129.50,7294.00,7129.50,7123.00,7233.00,7228.50,7235.54,7294.00,4646.00,626505.00,69759.00
09-Dec-25,Tuesday,December,Q4,2025,EQ,7142.00,7196.00,7052.00,7142.00,7122.50,7123.00,7138.49,7284.50,4646.00,436443.00,47280.00
08-Dec-25,Monday,December,Q4,2025,EQ,7230.00,7234.00,7115.00,7208.00,7135.00,7142.00,7158.76,7284.50,4646.00,273509.00,35250.00
05-Dec-25,Friday,December,Q4,2025,EQ,7120.00,7218.00,7070.50,7100.00,7205.00,7208.00,7170.34,7284.50,4646.00,501035.00,50190.00
04-Dec-25,Thursday,December,Q4,2025,EQ,7098.00,7167.50,7066.50,7081.50,7092.50,7100.00,7107.28,7284.50,4646.00,364672.00,58488.00
03-Dec-25,Wednesday,December,Q4,2025,EQ,7090.00,7105.00,7042.00,7112.50,7063.50,7081.50,7069.47,7284.50,4646.00,333674.00,49934.00
02-Dec-25,Tuesday,December,Q4,2025,EQ,7125.00,7196.00,7091.50,7125.50,7105.00,7112.50,7127.18,7284.50,4646.00,448174.00,79713.00
01-Dec-25,Monday,December,Q4,2025,EQ,7061.50,7250.00,7025.00,7053.50,7135.00,7125.50,7136.94,7284.50,4646.00,974710.00,75066.00
28-Nov-25,Friday,November,Q4,2025,EQ,6999.00,7065.00,6956.00,6999.00,7045.00,7053.50,7037.23,7284.50,4646.00,449709.00,40389.00
